,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,정렬,출장,이닝,RE24 세부,RE24 세부,RE24,REW,WPA 세부,WPA 세부,WPA 세부,WPA 세부,WPA,pLI,WPA/LI,Clutch,Unnamed: 18_level_1,Unnamed: 19_level_1,Unnamed: 20_level_1,Unnamed: 21_level_1,Unnamed: 22_level_1,Unnamed: 23_level_1,Unnamed: 24_level_1,Unnamed: 25_level_1,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1
,순,이름,팀,WPA,출장,이닝,타격,주루,RE24,REW,타격,주루,Plus,Minus,WPA,pLI,WPA/LI,Clutch,Unnamed: 18_level_2,Unnamed: 19_level_2,Unnamed: 20_level_2,Unnamed: 21_level_2,Unnamed: 22_level_2,Unnamed: 23_level_2,Unnamed: 24_level_2,Unnamed: 25_level_2,Unnamed: 26_level_2,Unnamed: 27_level_2,Unnamed: 28_level_2,Unnamed: 29_level_2,Unnamed: 30_level_2,Unnamed: 31_level_2,Unnamed: 32_level_2,Unnamed: 33_level_2,Unnamed: 34_level_2,Unnamed: 35_level_2
51,40,한화,18,-5.47,685,1274.0,-40.18,-17.19,-57.37,-5.07,-4.09,-1.39,93.74,-99.21,-5.47,0.96,-7.70,1.98,,,,,,,,,,,,,,,,,,
52,41,KT,20,-5.59,665,1290.1,20.86,-28.78,-7.92,-0.74,-2.67,-2.93,95.17,-100.76,-5.59,0.99,-2.73,-2.92,,,,,,,,,,,,,,,,,,
53,42,KIA,21,-5.75,676,1269.0,-37.69,-11.11,-48.80,-4.79,-4.06,-1.70,97.16,-102.91,-5.75,1.02,-7.63,1.98,,,,,,,,,,,,,,,,,,
54,43,NC,14,-5.78,580,1135.2,30.47,-17.61,12.87,1.13,-2.28,-3.50,86.18,-91.95,-5.78,1.02,-5.55,-0.14,,,,,,,,,,,,,,,,,,
55,44,한화,21,-6.54,717,1258.2,-29.95,-17.88,-47.84,-4.70,-4.59,-1.97,89.32,-95.86,-6.54,0.94,-7.49,0.51,,,,,,,,,,,,,,,,,,
56,45,삼성,19,-6.64,627,1275.1,-15.38,-12.67,-28.05,-2.86,-5.28,-1.38,92.95,-99.59,-6.64,0.98,-8.07,1.29,,,,,,,,,,,,,,,,,,
57,46,한화,19,-6.91,649,1268.2,-24.05,-13.23,-37.28,-3.80,-5.40,-1.52,95.23,-102.15,-6.91,0.99,-8.13,1.17,,,,,,,,,,,,,,,,,,
58,47,LG,15,-6.96,616,1279.2,-1.51,-20.16,-21.67,-1.99,-4.92,-2.03,95.06,-102.01,-6.96,0.99,-5.93,-1.09,,,,,,,,,,,,,,,,,,
59,48,롯데,21,-7.04,732,1271.0,-85.64,-22.22,-107.85,-10.59,-4.53,-2.51,94.33,-101.38,-7.04,0.97,-10.10,2.84,,,,,,,,,,,,,,,,,,
60,49,두산,22,-7.30,670,1279.1,7.69,-20.45,-12.77,-1.30,-4.90,-2.39,95.19,-102.49,-7.30,1.00,-4.13,-3.20,,,,,,,,,,,,,,,,,,
