,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,정렬,출장,이닝,도루,도실,도루%,도루기회,도루시도%,도루 상황,도루 상황,도루 상황,도실 상황,도실 상황,도실 상황,도루% 상황,도루% 상황,도루% 상황,견제아웃,무도,보크,포일,폭투,Unnamed: 25_level_1,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1
,순,이름,팀,도루,출장,이닝,도루,도실,도루%,도루기회,도루시도%,2,3,4,2,3,4,2,3,4,견제아웃,무도,보크,포일,폭투,Unnamed: 25_level_2,Unnamed: 26_level_2,Unnamed: 27_level_2,Unnamed: 28_level_2,Unnamed: 29_level_2,Unnamed: 30_level_2,Unnamed: 31_level_2,Unnamed: 32_level_2,Unnamed: 33_level_2,Unnamed: 34_level_2,Unnamed: 35_level_2
85,74,KIA,17,73,582,1290.0,73,45,61.9,2182,5.4,62,9,2,40,2,3,60.8,81.8,40.0,2,1,4,12,69,,,,,,,,,,,
86,,넥센,17,73,554,1271.0,73,43,62.9,2105,5.5,69,4,0,35,4,4,66.4,50.0,0.0,4,0,3,8,56,,,,,,,,,,,
87,76,넥센,18,72,591,1282.0,72,39,64.9,2039,5.4,63,8,1,36,2,1,63.6,80.0,50.0,15,1,4,7,59,,,,,,,,,,,
88,77,두산,18,71,615,1288.2,71,43,62.3,2031,5.6,61,8,2,40,1,2,60.4,88.9,50.0,1,0,2,8,72,,,,,,,,,,,
89,78,KT,22,70,588,1287.1,70,26,72.9,1824,5.3,68,2,0,22,1,3,75.6,66.7,0.0,13,0,3,8,43,,,,,,,,,,,
90,79,두산,17,67,590,1288.0,67,36,65.1,2092,4.9,61,6,0,30,2,4,67.0,75.0,0.0,5,1,4,5,54,,,,,,,,,,,
91,,NC,19,67,645,1284.1,67,49,57.8,2036,5.7,60,6,1,44,5,0,57.7,54.6,100.0,5,0,2,5,68,,,,,,,,,,,
92,81,NC,17,66,620,1284.2,66,42,61.1,2001,5.4,63,2,1,36,4,2,63.6,33.3,33.3,1,0,3,4,93,,,,,,,,,,,
93,82,LG,17,65,619,1279.0,65,37,63.7,1918,5.3,59,5,1,35,2,0,62.8,71.4,100.0,9,0,3,9,81,,,,,,,,,,,
94,,삼성,17,65,613,1281.1,65,35,65.0,2297,4.4,60,4,1,31,4,0,65.9,50.0,100.0,4,0,4,14,74,,,,,,,,,,,
95,84,삼성,21,64,676,1259.0,64,26,71.1,1981,4.5,59,5,0,23,2,1,72.0,71.4,0.0,6,0,3,5,58,,,,,,,,,,,
96,,KIA,22,64,675,1279.2,64,41,61.0,2073,5.1,59,4,1,38,1,2,60.8,80.0,33.3,1,0,2,8,58,,,,,,,,,,,
97,86,NC,22,63,681,1286.2,63,42,60.0,2040,5.2,56,6,1,39,1,2,59.0,85.7,33.3,3,0,5,9,80,,,,,,,,,,,
98,87,삼성,20,58,698,1272.1,58,37,61.1,2062,4.6,56,1,1,35,1,1,61.5,50.0,50.0,8,0,5,6,56,,,,,,,,,,,
99,88,NC,20,51,736,1296.2,51,42,54.8,2030,4.6,48,3,0,33,8,1,59.3,27.3,0.0,7,0,7,10,65,,,,,,,,,,,
100,,삼성,22,51,686,1287.0,51,35,59.3,2102,4.1,47,3,1,32,0,3,59.5,100.0,25.0,9,0,3,6,47,,,,,,,,,,,
