,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,정렬,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,비율,비율,비율,비율,비율,WAR,WPA,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1
,순,이름,팀,WAR,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA,Unnamed: 33_level_2,Unnamed: 34_level_2,Unnamed: 35_level_2
50,39,넥센,17,18.33,554,2,1,144,69,73,40,66,1271.0,764,714,5663,1488,280,21,149,388,10,97,1005,3,56,5.06,4.80,1.48,98.4,102.0,18.33,-12.17,,,
51,40,SK,16,18.28,600,1,0,144,69,75,31,43,1274.0,784,699,5659,1386,232,22,151,527,18,76,945,7,65,4.94,5.23,1.50,105.7,100.3,18.28,-10.56,,,
52,41,KIA,20,18.14,639,1,1,144,73,70,33,79,1269.1,795,725,5678,1398,265,34,120,559,8,70,1038,4,78,5.14,4.62,1.54,93.4,104.0,18.14,-7.30,,,
53,42,삼성,18,18.08,618,0,0,144,68,72,33,56,1285.1,802,745,5740,1477,291,18,185,441,10,107,1114,5,45,5.22,5.23,1.49,101.7,100.5,18.08,-10.91,,,
54,43,넥센,18,18.07,591,4,1,144,75,69,32,72,1282.0,780,723,5646,1442,252,18,178,416,13,98,1021,4,59,5.08,5.22,1.45,101.5,97.8,18.07,-12.66,,,
55,44,넥센,15,17.54,587,1,1,144,78,65,29,44,1286.0,790,707,5709,1404,236,28,146,518,7,81,1066,4,85,4.95,4.81,1.50,100.6,103.2,17.54,-12.81,,,
56,45,NC,19,17.39,645,5,2,144,73,69,32,68,1284.1,631,573,5578,1285,199,19,103,483,10,92,991,2,68,4.02,4.22,1.38,104.9,100.0,17.39,3.13,,,
57,46,KIA,14,17.24,507,2,1,128,54,74,26,40,1121.2,788,735,5143,1289,252,32,116,561,8,67,896,1,78,5.90,5.26,1.65,88.5,100.6,17.24,-15.93,,,
58,47,SK,17,17.06,608,2,1,144,75,68,30,64,1270.2,767,710,5692,1443,271,17,154,481,35,105,940,7,61,5.03,5.13,1.51,100.1,98.6,17.06,-9.09,,,
59,48,두산,14,16.98,564,4,0,128,59,68,19,61,1123.2,733,679,5066,1311,243,29,121,450,4,58,840,4,56,5.44,5.11,1.57,90.9,98.3,16.98,-12.86,,,
60,49,NC,21,16.66,696,3,1,144,67,68,33,80,1256.2,697,634,5622,1268,231,15,125,592,14,77,1055,8,75,4.54,4.51,1.48,100.0,100.1,16.66,-5.27,,,
61,50,KT,18,16.59,631,4,1,144,59,82,24,45,1274.1,834,760,5743,1580,272,23,194,409,25,84,1025,1,63,5.37,5.31,1.56,98.7,97.9,16.59,-20.35,,,
62,51,KIA,18,16.43,575,4,0,144,70,74,26,43,1270.2,826,766,5708,1511,271,17,181,445,28,69,1017,3,65,5.43,5.23,1.54,94.6,98.6,16.43,-19.08,,,
63,52,NC,17,16.35,620,1,0,144,79,62,32,51,1284.2,745,673,5640,1342,208,9,169,470,12,93,1097,3,93,4.71,5.02,1.41,105.2,99.6,16.35,-3.91,,,
64,53,LG,20,15.87,653,2,2,144,79,61,29,67,1292.2,694,631,5655,1344,240,17,123,493,12,86,1019,4,49,4.39,4.53,1.42,105.3,101.9,15.87,-0.02,,,
65,54,롯데,18,15.85,686,0,0,144,68,74,29,64,1283.2,846,771,5788,1410,295,26,166,548,23,73,1164,7,65,5.41,5.10,1.53,96.5,102.6,15.85,-16.10,,,
66,55,SK,14,15.82,556,2,0,128,61,65,26,44,1129.1,760,699,5112,1271,241,21,153,522,19,68,837,1,67,5.57,5.65,1.59,91.6,92.6,15.82,-18.10,,,
67,56,KIA,21,14.95,676,1,0,144,58,76,36,94,1269.0,752,693,5701,1286,215,16,134,622,5,104,951,8,58,4.91,4.91,1.50,90.5,90.5,14.95,-5.75,,,
68,57,LG,19,14.83,599,1,0,144,78,64,42,61,1281.1,633,554,5548,1257,223,23,89,498,15,91,952,1,64,3.89,4.16,1.37,105.5,97.9,14.83,5.28,,,
69,58,두산,15,14.37,623,3,2,144,79,65,30,57,1286.0,776,719,5762,1385,248,22,138,584,15,77,1064,11,75,5.03,4.86,1.53,93.2,96.0,14.37,-7.41,,,
70,59,LG,16,14.32,676,2,2,144,71,71,34,75,1287.2,807,729,5782,1426,243,23,122,539,27,109,909,1,84,5.10,5.06,1.53,99.8,99.0,14.32,-13.17,,,
71,60,롯데,15,14.19,618,3,1,144,66,77,19,47,1281.1,802,727,5724,1461,253,13,164,489,26,87,1015,3,90,5.11,4.98,1.52,98.7,99.0,14.19,-12.54,,,
72,61,삼성,15,14.06,577,4,1,144,88,56,34,60,1275.1,716,666,5523,1323,270,17,182,423,11,64,1194,2,44,4.70,4.72,1.37,105.1,104.2,14.06,-3.49,,,
73,62,KIA,19,13.92,603,3,2,144,62,79,30,64,1264.0,723,655,5614,1362,257,24,101,504,17,76,976,2,51,4.66,4.23,1.48,89.9,98.9,13.92,-5.39,,,
74,63,한화,17,13.83,634,1,0,144,61,81,31,49,1273.0,820,749,5698,1474,278,16,166,446,13,100,914,4,77,5.30,5.25,1.51,95.0,96.4,13.83,-18.16,,,
75,64,키움,21,13.75,629,1,1,144,69,67,30,56,1261.1,700,607,5591,1279,223,7,101,566,27,80,896,4,59,4.33,4.43,1.46,102.4,98.1,13.75,-2.72,,,
