,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,PF조정,출장,이닝,ERA,FIP,RA,FIPRA,F-E,R-E,BABIP,LOB%,파크팩터 조정,파크팩터 조정,파크팩터 조정,파크팩터 조정,파크팩터 조정,파크팩터 조정,kwERA,Unnamed: 21_level_1,Unnamed: 22_level_1,Unnamed: 23_level_1,Unnamed: 24_level_1,Unnamed: 25_level_1,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1
,순,이름,팀,ERA+,출장,이닝,ERA,FIP,RA,FIPRA,F-E,R-E,BABIP,LOB%,ERA,FIP,RA,FIPRA,ERA+,FIP+,kwERA,Unnamed: 21_level_2,Unnamed: 22_level_2,Unnamed: 23_level_2,Unnamed: 24_level_2,Unnamed: 25_level_2,Unnamed: 26_level_2,Unnamed: 27_level_2,Unnamed: 28_level_2,Unnamed: 29_level_2,Unnamed: 30_level_2,Unnamed: 31_level_2,Unnamed: 32_level_2,Unnamed: 33_level_2,Unnamed: 34_level_2,Unnamed: 35_level_2
78,,삼성,16,93.4,647,1282.1,5.64,5.69,6.10,6.22,0.05,0.46,.328,67.5,5.55,5.66,6.00,6.19,93.4,91.7,4.54,,,,,,,,,,,,,,,
79,68,두산,15,93.2,623,1286.0,5.03,4.86,5.43,5.32,-0.17,0.40,.329,68.5,5.25,5.09,5.66,5.57,93.2,96.0,4.40,,,,,,,,,,,,,,,
80,69,롯데,22,93.1,675,1280.2,4.47,3.61,5.00,4.04,-0.86,0.53,.342,67.5,4.38,3.61,4.90,4.04,93.1,113.1,3.91,,,,,,,,,,,,,,,
81,70,롯데,16,92.8,668,1266.1,5.63,5.36,6.15,5.86,-0.27,0.52,.340,66.8,5.59,5.32,6.10,5.82,92.8,97.5,4.52,,,,,,,,,,,,,,,
82,71,SSG,21,92.6,660,1276.2,4.84,4.86,5.22,5.35,0.02,0.38,.303,70.3,4.80,4.76,5.18,5.24,92.6,93.5,4.60,,,,,,,,,,,,,,,
83,72,SK,14,91.6,556,1129.1,5.57,5.65,6.06,6.13,0.08,0.49,.322,66.9,5.75,5.69,6.25,6.16,91.6,92.6,4.66,,,,,,,,,,,,,,,
84,73,한화,16,91.1,680,1292.2,5.76,5.44,6.32,5.94,-0.33,0.56,.340,65.7,5.70,5.38,6.25,5.88,91.1,96.5,4.71,,,,,,,,,,,,,,,
85,74,두산,14,90.9,564,1123.2,5.44,5.11,5.87,5.53,-0.33,0.43,.337,65.8,5.79,5.36,6.25,5.81,90.9,98.3,4.48,,,,,,,,,,,,,,,
86,75,KIA,21,90.5,676,1269.0,4.91,4.91,5.33,5.41,-0.00,0.42,.301,69.1,4.92,4.92,5.34,5.42,90.5,90.5,4.71,,,,,,,,,,,,,,,
87,76,kt,15,90.4,652,1266.2,5.56,5.08,6.22,5.55,-0.48,0.66,.355,66.5,5.41,5.06,6.05,5.53,90.4,96.6,4.43,,,,,,,,,,,,,,,
