,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,가치,출장,이닝,구종 가치,구종 가치,구종 가치,구종 가치,구종 가치,구종 가치,구종 가치,구종 가치,구종 가치/100,구종 가치/100,구종 가치/100,구종 가치/100,구종 가치/100,구종 가치/100,구종 가치/100,구종 가치/100,Unnamed: 22_level_1,Unnamed: 23_level_1,Unnamed: 24_level_1,Unnamed: 25_level_1,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1
,순,이름,팀,직구,출장,이닝,직구,슬라,커브,첸졉,스플,싱커,너클,기타,직구,슬라,커브,첸졉,스플,싱커,너클,기타,Unnamed: 22_level_2,Unnamed: 23_level_2,Unnamed: 24_level_2,Unnamed: 25_level_2,Unnamed: 26_level_2,Unnamed: 27_level_2,Unnamed: 28_level_2,Unnamed: 29_level_2,Unnamed: 30_level_2,Unnamed: 31_level_2,Unnamed: 32_level_2,Unnamed: 33_level_2,Unnamed: 34_level_2,Unnamed: 35_level_2
42,31,KIA,15,-15.6,628,1273.0,-15.6,22.6,-24.7,21.3,-15.6,3.0,0.0,2.0,-0.14,0.50,-1.24,1.75,-2.14,0.40,,0.00,,,,,,,,,,,,,,
43,32,NC,20,-16.4,736,1296.2,-16.4,51.5,-0.3,-24.1,3.4,7.6,0.0,0.0,-0.18,0.98,-0.02,-1.01,0.21,0.42,,,,,,,,,,,,,,,,
44,33,삼성,21,-19.4,676,1259.0,-19.4,55.7,1.9,19.6,6.9,-11.9,0.0,0.0,-0.20,0.91,0.08,0.69,2.18,-1.59,,,,,,,,,,,,,,,,
45,34,LG,20,-19.5,653,1292.2,-19.5,18.7,30.7,-4.1,-1.1,3.9,0.0,-0.0,-0.26,0.40,0.90,-0.28,-0.11,0.11,,-0.03,,,,,,,,,,,,,,
46,35,LG,15,-22.2,616,1279.2,-22.2,-1.0,16.1,11.5,-1.0,10.9,-0.0,-4.7,-0.21,-0.02,0.75,0.68,-0.15,1.26,-2.70,-0.01,,,,,,,,,,,,,,
47,36,롯데,22,-26.1,675,1280.2,-26.1,29.0,5.6,4.8,23.3,-15.8,0.0,0.0,-0.28,0.56,0.37,0.40,0.92,-0.82,,,,,,,,,,,,,,,,
48,37,SK,17,-28.1,608,1270.2,-28.1,-17.5,16.3,-1.6,3.2,-12.4,-0.5,-4.4,-0.28,-0.52,0.61,-0.08,0.17,-0.87,-1.03,-0.04,,,,,,,,,,,,,,
49,38,넥센,16,-29.7,608,1280.1,-29.7,1.7,-13.2,-4.5,-2.8,-2.7,0.0,0.7,-0.28,0.04,-0.76,-0.43,-0.23,-1.47,,0.01,,,,,,,,,,,,,,
50,39,LG,14,-29.7,574,1142.2,-29.7,26.4,0.5,2.5,-0.7,1.0,0.0,-0.5,-0.27,0.84,0.02,0.15,-0.13,0.14,,-0.01,,,,,,,,,,,,,,
51,40,두산,18,-29.9,615,1288.2,-29.9,29.0,3.5,-10.9,-7.0,-4.4,-0.0,0.0,-0.30,0.67,0.14,-0.69,-0.40,-0.28,-3.40,,,,,,,,,,,,,,,
