,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,정렬,타석,홈런,홈런 타점,홈런 타점,홈런 타점,홈런 타점,홈런 방향,홈런 방향,홈런 방향,홈런 방향,홈런 방향,장타,XH/AB,XH/H,HR/XH,HR/외뜬,PA/HR,AB/HR,IsoP
58,순,이름,팀,정렬,타석,홈런,홈런 타점,홈런 타점,홈런 타점,홈런 타점,홈런 방향,홈런 방향,홈런 방향,홈런 방향,홈런 방향,장타,XH/AB,XH/H,HR/XH,HR/외뜬,PA/HR,AB/HR,IsoP
59,순,이름,팀,홈런,타석,홈런,1,2,3,4,좌,LC,중,RC,우,장타,XH/AB,XH/H,HR/XH,HR/외뜬,PA/HR,AB/HR,IsoP
60,41,KIA,15,136,5454,136,77,34,17,8,86,0,26,0,24,381,8.0,31.8,35.7,0.19,40.1,35.13,.141
61,42,넥센,16,134,5702,134,74,45,12,3,82,0,9,0,43,427,8.6,29.2,31.4,0.15,42.6,37.24,.147
62,43,삼성,21,133,5552,133,85,34,10,4,76,0,5,0,52,355,7.3,27.5,37.5,0.15,41.7,36.36,.132
63,44,롯데,20,131,5669,131,73,34,17,7,86,0,11,0,34,389,7.8,28.5,33.7,0.15,43.3,37.85,.133
64,45,한화,15,130,5713,130,70,36,19,5,72,0,24,0,34,367,7.6,27.9,35.4,0.19,44.0,37.31,.133
65,,KIA,20,130,5637,130,58,42,23,7,46,0,20,0,64,367,7.4,27.1,35.4,0.14,43.4,37.95,.130
66,47,삼성,20,129,5574,129,70,39,17,3,84,0,5,0,40,352,7.2,26.7,36.7,0.15,43.2,38.16,.126
67,,kt,15,129,5605,129,71,39,17,2,82,0,23,0,24,365,7.4,27.2,35.3,0.19,43.5,38.19,.130
68,49,NC,19,128,5631,128,65,40,19,4,91,0,4,0,32,403,8.1,29.1,31.8,0.14,44.0,38.81,.138
69,50,키움,20,127,5721,127,64,37,22,4,71,0,13,0,43,406,8.2,30.5,31.3,0.14,45.1,38.94,.139
70,순,이름,팀,정렬,타석,홈런,홈런 타점,홈런 타점,홈런 타점,홈런 타점,홈런 방향,홈런 방향,홈런 방향,홈런 방향,홈런 방향,장타,XH/AB,XH/H,HR/XH,HR/외뜬,PA/HR,AB/HR,IsoP
71,순,이름,팀,홈런,타석,홈런,1,2,3,4,좌,LC,중,RC,우,장타,XH/AB,XH/H,HR/XH,HR/외뜬,PA/HR,AB/HR,IsoP
72,,롯데,16,127,5784,127,69,37,17,4,63,0,25,0,39,399,8.0,27.7,31.8,0.17,45.5,39.38,.135
73,52,두산,20,125,5773,125,65,42,16,2,30,0,17,0,78,408,8.1,27.6,30.6,0.13,46.2,40.34,.134
74,53,삼성,19,122,5533,122,62,38,17,5,74,0,4,0,44,378,7.8,30.4,32.3,0.13,45.4,39.89,.133
75,54,롯데,14,121,5194,121,65,39,15,2,47,9,28,14,23,399,8.9,31.0,30.3,0.18,42.9,37.08,.149
76,,KIA,14,121,5023,121,64,36,14,5,74,19,11,2,13,394,8.9,30.8,30.7,0.18,41.5,36.72,.149
77,56,KT,22,119,5547,119,60,38,17,4,88,0,9,0,22,329,6.8,26.6,36.2,0.14,46.6,40.87,.121
78,,kt,17,119,5484,119,67,39,10,3,71,0,14,0,34,410,8.3,30.1,29.0,0.15,46.1,41.48,.135
79,58,LG,22,118,5627,118,59,33,20,6,51,0,7,0,60,359,7.3,27.1,32.9,0.13,47.7,41.75,.128
80,,LG,16,118,5765,118,67,35,13,3,73,0,8,0,37,382,7.6,26.1,30.9,0.14,48.9,42.81,.128
81,60,SK,19,117,5542,117,66,37,12,2,95,0,6,0,16,349,7.1,27.1,33.5,0.13,47.4,42.04,.121
82,순,이름,팀,정렬,타석,홈런,홈런 타점,홈런 타점,홈런 타점,홈런 타점,홈런 방향,홈런 방향,홈런 방향,홈런 방향,홈런 방향,장타,XH/AB,XH/H,HR/XH,HR/외뜬,PA/HR,AB/HR,IsoP
83,순,이름,팀,홈런,타석,홈런,1,2,3,4,좌,LC,중,RC,우,장타,XH/AB,XH/H,HR/XH,HR/외뜬,PA/HR,AB/HR,IsoP
84,61,kt,16,116,5620,116,62,36,16,2,77,0,16,0,23,341,6.9,24.9,34.0,0.15,48.5,42.78,.118
85,62,SK,14,115,5082,115,56,38,14,6,49,10,15,13,27,382,8.6,29.7,30.1,0.15,44.2,38.46,.143
86,63,LG,15,114,5599,114,58,39,15,2,59,0,15,0,40,388,7.9,29.2,29.4,0.13,49.1,43.34,.129
87,64,KIA,22,113,5703,113,56,30,25,2,55,0,12,0,46,382,7.6,28.0,29.6,0.13,50.5,44.26,.125
88,65,키움,19,112,5658,112,56,35,17,4,73,0,13,0,26,401,8.0,28.5,27.9,0.13,50.5,44.56,.133
89,66,두산,21,110,5645,110,48,30,28,4,62,0,7,0,41,362,7.4,27.5,30.4,0.12,51.3,44.55,.122
90,,LG,21,110,5533,110,57,29,18,6,59,0,9,0,42,331,7.0,27.9,33.2,0.12,50.3,43.18,.118
91,,LG,17,110,5614,110,58,31,15,6,77,0,9,0,24,346,7.0,24.9,31.8,0.13,51.0,44.95,.119
92,69,두산,14,108,5083,108,58,36,12,2,37,16,17,11,27,369,8.3,28.4,29.3,0.13,47.1,40.99,.138
93,70,롯데,21,107,5726,107,58,28,14,7,71,0,13,0,23,383,7.6,27.5,27.9,0.13,53.5,46.81,.121
