,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,타점,타석,타점,타점,타점,타점,병살타,병살타,병살타,잔루,잔루/타석,팀잔루,희생번트,희생번트,희생번트
,순,이름,팀,타점,타석,타점.1,순수,주자,%,병살타,상황,%,잔루,잔루/타석,팀잔루,희번,실패,%
104,79,두산,22,592,5510,592,491,3020,16.3,116,1142,10.2,2212,0.402,1005,53,21,71.6
105,80,KT,22,588,5547,588,469,3041,15.4,105,1161,9.0,2289,0.413,1063,70,52,57.4
106,순,이름,팀,타점,타석,타점,타점,타점,타점,병살타,병살타,병살타,잔루,잔루/타석,팀잔루,희생번트,희생번트,희생번트
107,순,이름,팀,타점,타석,타점,순수,주자,%,병살타,상황,%,잔루,잔루/타석,팀잔루,희번,실패,%
108,81,키움,22,577,5655,577,483,3271,14.8,89,1149,7.8,2422,0.428,1159,49,20,71.0
109,82,롯데,22,570,5534,570,464,3080,15.1,127,1156,11.0,2257,0.408,1055,73,29,71.6
110,83,KIA,19,566,5505,566,490,3171,15.5,108,1133,9.5,2330,0.423,1076,31,36,46.3
111,84,한화,19,562,5482,562,474,2995,15.8,112,1086,10.3,2175,0.397,1007,44,25,63.8
112,85,한화,21,554,5495,554,474,3037,15.6,110,1165,9.4,2271,0.413,1053,53,39,57.6
113,86,KIA,21,546,5577,546,480,3373,14.2,119,1269,9.4,2482,0.445,1162,41,25,62.1
114,87,롯데,19,545,5488,545,455,3039,15.0,108,1091,9.9,2257,0.411,1020,35,38,48.0
115,88,한화,20,523,5483,523,444,3051,14.6,119,1155,10.3,2269,0.414,1053,45,22,67.2
116,89,한화,22,520,5513,520,432,3051,14.2,92,1080,8.5,2309,0.419,1075,46,27,63.0
