,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,정렬,타석,RAA도루,도루,도실,도루%,도루기회,도루시도%,도루 상황,도루 상황,도루 상황,도루 상황,도실 상황,도실 상황,도실 상황,도실 상황,도루% 상황,도루% 상황,도루% 상황,도루% 상황,무.도,견제아웃,폭투진루,포일진루,견제실책
97,72,넥센,16,-4.37,5702,-4.37,154,83,65.0,2244,10.6,44,138,12,4,25,74,7,2,63.8,65.1,63.2,66.7,1,11,102,10,24
98,73,한화,17,-4.38,5665,-4.38,64,44,59.3,2115,5.1,12,59,5,0,14,36,5,3,46.2,62.1,50.0,0.0,0,12,116,11,12
99,74,LG,16,-4.43,5765,-4.43,121,70,63.4,2219,8.6,48,106,13,2,24,65,5,0,66.7,62.0,72.2,100.0,3,13,113,13,12
100,75,한화,14,-4.98,5055,-4.98,70,41,63.1,1871,5.9,18,65,3,0,13,36,3,1,58.1,64.4,50.0,0.0,0,5,71,12,18
101,76,SK,20,-5.03,5502,-5.03,81,45,64.3,1944,6.5,18,68,12,1,19,38,7,0,48.7,64.2,63.2,100.0,0,16,83,6,14
102,77,한화,15,-5.38,5713,-5.38,80,47,63.0,2186,5.8,34,67,12,1,17,41,0,6,66.7,62.0,100.0,14.3,4,14,120,8,8
103,78,LG,15,-5.91,5599,-5.91,113,62,64.6,2029,8.6,40,95,17,1,26,55,5,2,60.6,63.3,77.3,33.3,2,9,112,11,23
104,79,SK,17,-5.94,5564,-5.94,53,42,55.8,1888,5.0,12,50,3,0,11,39,3,0,52.2,56.2,50.0,,0,7,101,5,14
105,80,KIA,14,-6.12,5023,-6.12,121,63,65.8,1894,9.7,29,111,8,1,22,61,2,0,56.9,64.5,80.0,100.0,0,7,50,10,22
106,순,이름,팀,정렬,타석,RAA도루,도루,도실,도루%,도루기회,도루시도%,도루 상황,도루 상황,도루 상황,도루 상황,도실 상황,도실 상황,도실 상황,도실 상황,도루% 상황,도루% 상황,도루% 상황,도루% 상황,무.도,견제아웃,폭투진루,포일진루,견제실책
107,순,이름,팀,RAA도루,타석,RAA도루,도루,도실,도루%,도루기회,도루시도%,좌,2,3,4,좌,2,3,4,좌,2,3,4,무.도,견제아웃,폭투진루,포일진루,견제실책
108,81,롯데,14,-6.15,5194,-6.15,63,41,60.6,2068,5.0,14,59,3,0,12,39,0,1,53.9,60.2,100.0,0.0,0,2,99,7,16
109,82,SK,16,-6.32,5672,-6.32,89,60,59.7,2118,7.0,15,83,6,0,14,53,5,2,51.7,61.0,54.6,0.0,1,8,80,7,22
110,83,한화,18,-6.36,5539,-6.36,118,64,64.8,2002,9.1,39,105,8,5,26,51,5,8,60.0,67.3,61.5,38.5,0,10,79,6,26
111,84,롯데,22,-6.48,5534,-6.48,61,39,61.0,2050,4.9,9,54,6,1,14,37,2,0,39.1,59.3,75.0,100.0,0,6,65,6,10
112,85,한화,20,-6.87,5483,-6.87,51,36,58.6,1926,4.5,3,46,5,0,8,30,4,2,27.3,60.5,55.6,0.0,0,4,78,12,6
113,86,LG,17,-7.36,5614,-7.36,77,56,57.9,2076,6.4,27,67,10,0,21,45,7,4,56.3,59.8,58.8,0.0,0,9,104,20,15
114,87,SK,15,-8.27,5588,-8.27,94,59,61.4,2032,7.5,19,90,4,0,17,54,2,3,52.8,62.5,66.7,0.0,4,14,68,8,11
115,88,LG,14,-10.51,5070,-10.51,104,64,61.9,1962,8.6,35,88,11,1,27,58,3,3,56.5,60.3,78.6,25.0,0,9,75,5,26
116,89,KT,18,-10.57,5605,-10.57,80,57,58.4,1971,7.0,10,77,3,0,13,48,6,3,43.5,61.6,33.3,0.0,0,7,90,12,13
