,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,평속,타석,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,구사율,구사율,구사율,구사율,구사율,구사율,구사율,구사율,Swing%,Swing%,Swing%,Contact%,Contact%,Contact%,Zone%
,순,이름,팀,직구,타석,직구,슬라,커브,첸졉,스플,싱커,너클,기타,직구,슬라,커브,첸졉,스플,싱커,너클,기타,IZ,OZ,All,IZ,OZ,All,Zone%
72,51,한화,16,142.0,5838,142.0,130.2,117.6,127.4,130.3,138.6,,105.4,48.6,23.1,9.2,7.3,6.7,4.3,0.0,0.8,66.4,26.3,45.1,87.5,61.3,79.4,46.9
73,52,KT,19,142.0,5572,142.0,131.8,119.6,127.4,131.2,139.7,,,43.6,20.0,11.3,8.4,5.4,11.3,0.0,0.0,65.6,28.8,44.8,88.1,67.5,80.6,43.5
74,53,NC,16,141.9,5833,141.9,129.8,116.7,127.5,130.3,139.0,115.5,40.1,51.2,22.2,8.3,6.9,6.2,3.9,0.0,1.3,64.0,27.5,44.6,87.6,65.0,80.2,46.8
75,54,두산,16,141.8,5841,141.8,130.1,117.1,127.4,130.6,139.8,,67.1,53.1,21.8,8.2,6.4,6.5,3.2,0.0,0.7,67.0,23.1,44.3,88.1,62.2,81.1,48.2
76,55,한화,17,141.7,5665,141.7,130.4,117.1,126.7,129.9,136.8,118.5,108.8,46.3,20.8,9.8,8.0,8.4,6.1,0.3,0.2,68.7,31.1,47.0,87.6,65.3,79.1,42.3
77,56,KIA,19,141.7,5505,141.7,131.4,118.9,127.0,129.6,139.3,,,42.0,21.1,10.3,9.3,6.6,10.7,0.0,0.0,66.9,28.7,45.3,87.0,66.7,79.7,43.5
78,57,한화,15,141.7,5713,141.7,130.5,117.8,126.8,128.9,131.3,126.6,89.0,51.3,22.7,9.3,6.8,3.5,2.5,0.3,3.6,63.4,22.4,43.6,86.4,56.6,79.0,51.6
79,58,삼성,15,141.6,5803,141.6,129.9,117.1,128.0,130.1,139.7,109.8,117.6,47.6,23.3,9.6,5.2,3.7,5.2,0.0,5.4,61.1,27.3,43.2,89.3,67.7,82.1,47.2
80,59,넥센,16,141.6,5702,141.6,130.2,116.8,127.3,130.1,137.9,104.0,99.3,49.3,21.9,9.4,7.4,6.6,4.9,0.0,0.5,64.2,24.6,43.8,86.9,59.7,79.0,48.3
81,60,LG,17,141.6,5614,141.6,130.5,118.0,126.9,129.5,138.9,120.9,109.8,46.3,19.1,10.1,8.9,8.8,6.2,0.3,0.2,66.7,31.2,46.2,87.5,67.5,79.7,42.4
82,순,이름,팀,평속,타석,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,구사율,구사율,구사율,구사율,구사율,구사율,구사율,구사율,Swing%,Swing%,Swing%,Contact%,Contact%,Contact%,Zone%
83,순,이름,팀,직구,타석,직구,슬라,커브,첸졉,스플,싱커,너클,기타,직구,슬라,커브,첸졉,스플,싱커,너클,기타,IZ,OZ,All,IZ,OZ,All,Zone%
84,61,넥센,15,141.6,5811,141.6,130.3,117.5,127.4,130.0,135.7,127.1,75.1,49.9,22.8,11.4,6.3,4.2,3.4,0.1,1.9,64.2,23.9,44.0,85.9,56.6,77.9,49.8
85,62,kt,16,141.5,5620,141.5,130.2,117.1,127.0,130.0,136.2,,29.0,55.5,20.8,8.1,6.3,5.0,3.3,0.0,1.0,65.1,24.5,45.6,87.5,62.2,81.0,52.0
86,63,SK,14,141.5,5082,141.5,130.1,117.5,126.9,129.4,134.5,123.5,127.5,59.4,18.0,9.0,7.6,4.5,1.1,0.1,0.4,62.9,26.3,44.2,87.8,59.5,79.2,49.0
87,64,LG,15,141.5,5599,141.5,130.0,118.2,126.8,130.0,133.7,127.2,69.1,52.3,22.6,11.0,6.0,3.8,2.4,0.0,1.9,63.6,23.3,45.2,87.3,57.3,80.2,54.2
88,65,LG,14,141.4,5070,141.4,130.2,118.5,128.5,129.5,134.5,121.3,126.1,59.5,19.0,8.9,6.9,4.3,0.8,0.1,0.6,63.1,24.0,43.2,87.4,64.9,81.0,49.0
89,66,두산,15,141.4,5759,141.4,130.1,117.8,127.1,128.7,138.0,124.8,110.5,53.6,20.9,10.6,6.9,3.9,2.2,0.1,1.9,65.4,22.2,44.3,88.9,65.3,83.1,51.2
90,67,넥센,17,141.3,5712,141.3,130.9,117.4,126.3,129.5,138.8,116.2,85.5,47.7,19.5,9.6,8.9,8.4,5.5,0.1,0.2,66.1,27.1,44.0,87.5,66.1,80.0,43.4
91,68,롯데,16,141.3,5784,141.3,129.6,117.4,127.8,156.5,139.5,128.0,75.6,52.8,21.5,8.7,7.1,5.4,4.1,0.0,0.4,62.6,23.4,43.3,86.9,61.3,80.1,50.8
